customer_id,risk_score,risk_category
199,70,Medium Risk
200,55,Medium Risk
201,55,Medium Risk
202,55,Medium Risk
203,40,High Risk
204,55,Medium Risk
205,90,Low Risk
206,70,Medium Risk
207,55,Medium Risk
208,70,Medium Risk
209,70,Medium Risk
210,50,Medium Risk
211,55,Medium Risk
212,55,Medium Risk
213,70,Medium Risk
214,55,Medium Risk
215,75,Medium Risk
216,70,Medium Risk
217,40,High Risk
218,55,Medium Risk
219,55,Medium Risk
220,40,High Risk
221,70,Medium Risk
222,90,Low Risk
223,55,Medium Risk
224,70,Medium Risk
225,40,High Risk
226,55,Medium Risk
227,50,Medium Risk
228,35,High Risk
229,35,High Risk
230,65,Medium Risk
231,40,High Risk
232,70,Medium Risk
233,55,Medium Risk
234,50,Medium Risk
235,55,Medium Risk
236,40,High Risk
237,55,Medium Risk
238,60,Medium Risk
239,55,Medium Risk
240,55,Medium Risk
241,70,Medium Risk
242,35,High Risk
243,70,Medium Risk
244,70,Medium Risk
245,55,Medium Risk
246,70,Medium Risk
247,25,High Risk
248,55,Medium Risk
249,40,High Risk
250,55,Medium Risk
251,55,Medium Risk
252,70,Medium Risk
253,70,Medium Risk
254,55,Medium Risk
255,50,Medium Risk
256,70,Medium Risk
257,75,Medium Risk
258,70,Medium Risk
259,75,Medium Risk
260,55,Medium Risk
261,75,Medium Risk
262,75,Medium Risk
263,55,Medium Risk
264,75,Medium Risk
265,55,Medium Risk
266,75,Medium Risk
267,55,Medium Risk
268,70,Medium Risk
269,55,Medium Risk
270,90,Low Risk
271,55,Medium Risk
272,55,Medium Risk
273,20,High Risk
274,55,Medium Risk
275,55,Medium Risk
276,70,Medium Risk
277,55,Medium Risk
278,40,High Risk
279,55,Medium Risk
280,55,Medium Risk
281,40,High Risk
282,55,Medium Risk
283,55,Medium Risk
284,55,Medium Risk
285,70,Medium Risk
286,55,Medium Risk
287,55,Medium Risk
288,70,Medium Risk
289,55,Medium Risk
290,55,Medium Risk
291,55,Medium Risk
292,70,Medium Risk
293,20,High Risk
294,70,Medium Risk
295,55,Medium Risk
296,35,High Risk
297,70,Medium Risk
298,55,Medium Risk
299,55,Medium Risk
300,55,Medium Risk
301,55,Medium Risk
302,55,Medium Risk
303,50,Medium Risk
304,55,Medium Risk
305,40,High Risk
306,70,Medium Risk
307,75,Medium Risk
308,55,Medium Risk
309,90,Low Risk
310,70,Medium Risk
311,70,Medium Risk
312,40,High Risk
313,55,Medium Risk
314,55,Medium Risk
315,55,Medium Risk
316,55,Medium Risk
317,50,Medium Risk
318,55,Medium Risk
319,55,Medium Risk
320,55,Medium Risk
321,55,Medium Risk
322,55,Medium Risk
323,60,Medium Risk
324,55,Medium Risk
325,70,Medium Risk
326,70,Medium Risk
327,55,Medium Risk
328,55,Medium Risk
329,35,High Risk
330,90,Low Risk
331,40,High Risk
332,70,Medium Risk
333,35,High Risk
334,40,High Risk
335,55,Medium Risk
336,70,Medium Risk
337,70,Medium Risk
338,55,Medium Risk
339,25,High Risk
340,55,Medium Risk
341,55,Medium Risk
342,70,Medium Risk
343,40,High Risk
344,40,High Risk
345,75,Medium Risk
346,65,Medium Risk
347,40,High Risk
348,40,High Risk
349,70,Medium Risk
350,60,Medium Risk
351,55,Medium Risk
352,55,Medium Risk
353,55,Medium Risk
354,70,Medium Risk
355,55,Medium Risk
356,35,High Risk
357,55,Medium Risk
358,55,Medium Risk
359,55,Medium Risk
360,55,Medium Risk
361,55,Medium Risk
362,55,Medium Risk
363,55,Medium Risk
364,55,Medium Risk
365,60,Medium Risk
366,55,Medium Risk
367,35,High Risk
368,55,Medium Risk
369,35,High Risk
370,55,Medium Risk
371,55,Medium Risk
372,70,Medium Risk
373,55,Medium Risk
374,55,Medium Risk
375,55,Medium Risk
376,90,Low Risk
377,40,High Risk
378,70,Medium Risk
379,55,Medium Risk
380,75,Medium Risk
381,55,Medium Risk
382,55,Medium Risk
383,55,Medium Risk
384,35,High Risk
385,55,Medium Risk
386,55,Medium Risk
387,70,Medium Risk
388,75,Medium Risk
389,55,Medium Risk
390,40,High Risk
391,70,Medium Risk
392,70,Medium Risk
393,55,Medium Risk
394,75,Medium Risk
395,55,Medium Risk
396,70,Medium Risk
397,70,Medium Risk
398,5,High Risk
399,55,Medium Risk
400,75,Medium Risk
401,55,Medium Risk
402,85,Low Risk
403,55,Medium Risk
404,75,Medium Risk
405,55,Medium Risk
406,70,Medium Risk
407,90,Low Risk
408,55,Medium Risk
409,40,High Risk
410,55,Medium Risk
411,70,Medium Risk
412,70,Medium Risk
413,90,Low Risk
414,70,Medium Risk
415,70,Medium Risk
416,55,Medium Risk
417,55,Medium Risk
418,70,Medium Risk
419,60,Medium Risk
420,55,Medium Risk
421,40,High Risk
422,70,Medium Risk
423,70,Medium Risk
424,55,Medium Risk
425,70,Medium Risk
426,70,Medium Risk
427,55,Medium Risk
428,50,Medium Risk
429,55,Medium Risk
430,55,Medium Risk
431,55,Medium Risk
432,70,Medium Risk
433,70,Medium Risk
434,55,Medium Risk
435,55,Medium Risk
436,75,Medium Risk
437,40,High Risk
438,55,Medium Risk
439,55,Medium Risk
440,75,Medium Risk
441,70,Medium Risk
442,70,Medium Risk
443,55,Medium Risk
444,90,Low Risk
445,55,Medium Risk
446,60,Medium Risk
447,70,Medium Risk
448,40,High Risk
449,70,Medium Risk
450,55,Medium Risk
451,55,Medium Risk
452,90,Low Risk
453,55,Medium Risk
454,40,High Risk
455,70,Medium Risk
456,70,Medium Risk
457,55,Medium Risk
458,75,Medium Risk
459,55,Medium Risk
460,65,Medium Risk
461,55,Medium Risk
462,40,High Risk
463,55,Medium Risk
464,35,High Risk
465,55,Medium Risk
466,50,Medium Risk
467,75,Medium Risk
468,40,High Risk
469,90,Low Risk
470,50,Medium Risk
471,55,Medium Risk
472,75,Medium Risk
473,55,Medium Risk
474,55,Medium Risk
475,70,Medium Risk
476,55,Medium Risk
477,70,Medium Risk
478,55,Medium Risk
479,55,Medium Risk
480,55,Medium Risk
481,55,Medium Risk
482,50,Medium Risk
483,70,Medium Risk
484,70,Medium Risk
485,55,Medium Risk
486,75,Medium Risk
487,70,Medium Risk
488,80,Low Risk
489,70,Medium Risk
490,40,High Risk
491,35,High Risk
492,70,Medium Risk
493,40,High Risk
494,70,Medium Risk
495,70,Medium Risk
496,55,Medium Risk
497,55,Medium Risk
498,55,Medium Risk
499,75,Medium Risk
500,55,Medium Risk
501,90,Low Risk
502,55,Medium Risk
503,40,High Risk
504,55,Medium Risk
505,40,High Risk
506,70,Medium Risk
507,70,Medium Risk
508,55,Medium Risk
509,90,Low Risk
510,40,High Risk
511,90,Low Risk
512,40,High Risk
513,55,Medium Risk
514,55,Medium Risk
515,55,Medium Risk
516,55,Medium Risk
517,65,Medium Risk
518,40,High Risk
519,55,Medium Risk
520,55,Medium Risk
521,20,High Risk
522,60,Medium Risk
523,55,Medium Risk
524,75,Medium Risk
525,55,Medium Risk
526,55,Medium Risk
527,60,Medium Risk
528,55,Medium Risk
529,70,Medium Risk
530,70,Medium Risk
531,40,High Risk
532,55,Medium Risk
533,70,Medium Risk
534,70,Medium Risk
535,70,Medium Risk
536,55,Medium Risk
537,70,Medium Risk
538,90,Low Risk
539,70,Medium Risk
540,70,Medium Risk
541,40,High Risk
542,55,Medium Risk
543,55,Medium Risk
544,55,Medium Risk
545,55,Medium Risk
546,55,Medium Risk
547,70,Medium Risk
548,75,Medium Risk
549,55,Medium Risk
550,70,Medium Risk
551,50,Medium Risk
552,40,High Risk
553,40,High Risk
554,55,Medium Risk
555,70,Medium Risk
556,90,Low Risk
557,55,Medium Risk
558,90,Low Risk
559,50,Medium Risk
560,70,Medium Risk
561,70,Medium Risk
562,70,Medium Risk
563,20,High Risk
564,35,High Risk
565,75,Medium Risk
566,75,Medium Risk
567,55,Medium Risk
568,70,Medium Risk
569,50,Medium Risk
570,55,Medium Risk
571,70,Medium Risk
572,70,Medium Risk
573,50,Medium Risk
574,70,Medium Risk
575,40,High Risk
576,75,Medium Risk
577,55,Medium Risk
578,45,High Risk
579,75,Medium Risk
580,75,Medium Risk
581,55,Medium Risk
582,100,Low Risk
583,35,High Risk
584,45,High Risk
585,55,Medium Risk
586,70,Medium Risk
587,40,High Risk
588,55,Medium Risk
589,35,High Risk
590,70,Medium Risk
591,70,Medium Risk
592,75,Medium Risk
593,70,Medium Risk
594,55,Medium Risk
595,70,Medium Risk
596,55,Medium Risk
597,55,Medium Risk
598,90,Low Risk
599,40,High Risk
600,55,Medium Risk
601,55,Medium Risk
602,55,Medium Risk
603,90,Low Risk
604,55,Medium Risk
605,40,High Risk
606,70,Medium Risk
607,55,Medium Risk
608,55,Medium Risk
609,50,Medium Risk
610,50,Medium Risk
611,55,Medium Risk
612,70,Medium Risk
613,70,Medium Risk
614,75,Medium Risk
615,40,High Risk
616,75,Medium Risk
617,35,High Risk
618,70,Medium Risk
619,40,High Risk
620,75,Medium Risk
621,25,High Risk
622,55,Medium Risk
623,60,Medium Risk
624,55,Medium Risk
625,40,High Risk
626,75,Medium Risk
627,50,Medium Risk
628,70,Medium Risk
629,55,Medium Risk
630,70,Medium Risk
631,55,Medium Risk
632,20,High Risk
633,40,High Risk
634,55,Medium Risk
635,55,Medium Risk
636,25,High Risk
637,55,Medium Risk
638,35,High Risk
639,70,Medium Risk
640,55,Medium Risk
641,90,Low Risk
642,70,Medium Risk
643,55,Medium Risk
644,70,Medium Risk
645,70,Medium Risk
646,40,High Risk
647,40,High Risk
648,50,Medium Risk
649,75,Medium Risk
650,55,Medium Risk
651,90,Low Risk
652,55,Medium Risk
653,70,Medium Risk
654,55,Medium Risk
655,55,Medium Risk
656,70,Medium Risk
657,35,High Risk
658,55,Medium Risk
659,55,Medium Risk
660,75,Medium Risk
661,55,Medium Risk
662,90,Low Risk
663,35,High Risk
664,55,Medium Risk
665,75,Medium Risk
666,75,Medium Risk
667,50,Medium Risk
668,40,High Risk
669,40,High Risk
670,35,High Risk
671,70,Medium Risk
672,55,Medium Risk
673,55,Medium Risk
674,55,Medium Risk
675,60,Medium Risk
676,40,High Risk
677,70,Medium Risk
678,55,Medium Risk
679,40,High Risk
680,55,Medium Risk
681,70,Medium Risk
682,70,Medium Risk
683,90,Low Risk
684,55,Medium Risk
685,55,Medium Risk
686,70,Medium Risk
687,70,Medium Risk
688,55,Medium Risk
689,55,Medium Risk
690,40,High Risk
691,55,Medium Risk
692,75,Medium Risk
693,75,Medium Risk
694,40,High Risk
695,55,Medium Risk
696,40,High Risk
697,70,Medium Risk
698,55,Medium Risk
699,55,Medium Risk
700,55,Medium Risk
701,55,Medium Risk
702,70,Medium Risk
703,80,Low Risk
704,55,Medium Risk
705,65,Medium Risk
706,90,Low Risk
707,60,Medium Risk
708,55,Medium Risk
709,70,Medium Risk
710,35,High Risk
711,20,High Risk
712,20,High Risk
713,20,High Risk
714,55,Medium Risk
715,70,Medium Risk
716,55,Medium Risk
717,40,High Risk
718,70,Medium Risk
719,55,Medium Risk
720,55,Medium Risk
721,70,Medium Risk
722,70,Medium Risk
723,55,Medium Risk
724,35,High Risk
725,55,Medium Risk
726,40,High Risk
727,90,Low Risk
728,70,Medium Risk
729,60,Medium Risk
730,55,Medium Risk
731,40,High Risk
732,75,Medium Risk
733,90,Low Risk
734,55,Medium Risk
735,50,Medium Risk
736,75,Medium Risk
737,55,Medium Risk
738,90,Low Risk
739,75,Medium Risk
740,55,Medium Risk
741,55,Medium Risk
742,35,High Risk
743,90,Low Risk
744,55,Medium Risk
745,70,Medium Risk
746,70,Medium Risk
747,50,Medium Risk
748,55,Medium Risk
749,75,Medium Risk
750,55,Medium Risk
751,70,Medium Risk
752,70,Medium Risk
753,55,Medium Risk
754,40,High Risk
755,40,High Risk
756,70,Medium Risk
757,40,High Risk
758,65,Medium Risk
759,40,High Risk
760,70,Medium Risk
761,55,Medium Risk
762,70,Medium Risk
763,50,Medium Risk
764,55,Medium Risk
765,70,Medium Risk
766,70,Medium Risk
767,55,Medium Risk
768,55,Medium Risk
769,55,Medium Risk
770,70,Medium Risk
771,55,Medium Risk
772,55,Medium Risk
773,55,Medium Risk
774,70,Medium Risk
775,70,Medium Risk
776,50,Medium Risk
777,40,High Risk
778,55,Medium Risk
779,55,Medium Risk
780,55,Medium Risk
781,55,Medium Risk
782,55,Medium Risk
783,55,Medium Risk
784,60,Medium Risk
785,55,Medium Risk
786,40,High Risk
787,40,High Risk
788,90,Low Risk
789,50,Medium Risk
790,70,Medium Risk
791,75,Medium Risk
792,55,Medium Risk
793,75,Medium Risk
794,90,Low Risk
795,55,Medium Risk
796,70,Medium Risk
797,55,Medium Risk
798,55,Medium Risk
799,70,Medium Risk
800,70,Medium Risk
801,25,High Risk
802,90,Low Risk
803,70,Medium Risk
804,40,High Risk
805,55,Medium Risk
806,55,Medium Risk
807,55,Medium Risk
808,70,Medium Risk
809,70,Medium Risk
810,55,Medium Risk
811,55,Medium Risk
812,40,High Risk
813,55,Medium Risk
814,55,Medium Risk
815,40,High Risk
816,50,Medium Risk
817,70,Medium Risk
818,75,Medium Risk
819,75,Medium Risk
820,55,Medium Risk
821,70,Medium Risk
822,55,Medium Risk
823,55,Medium Risk
824,55,Medium Risk
825,70,Medium Risk
826,55,Medium Risk
827,55,Medium Risk
828,70,Medium Risk
829,90,Low Risk
830,40,High Risk
831,35,High Risk
832,70,Medium Risk
833,55,Medium Risk
834,60,Medium Risk
835,55,Medium Risk
836,55,Medium Risk
837,40,High Risk
838,45,High Risk
839,75,Medium Risk
840,55,Medium Risk
841,35,High Risk
842,55,Medium Risk
843,55,Medium Risk
844,90,Low Risk
845,70,Medium Risk
846,40,High Risk
847,55,Medium Risk
848,70,Medium Risk
849,85,Low Risk
850,70,Medium Risk
851,55,Medium Risk
852,55,Medium Risk
853,40,High Risk
854,75,Medium Risk
855,50,Medium Risk
856,55,Medium Risk
857,55,Medium Risk
858,55,Medium Risk
859,55,Medium Risk
860,55,Medium Risk
861,55,Medium Risk
862,40,High Risk
863,55,Medium Risk
864,60,Medium Risk
865,75,Medium Risk
866,55,Medium Risk
867,70,Medium Risk
868,40,High Risk
869,55,Medium Risk
870,70,Medium Risk
871,55,Medium Risk
872,40,High Risk
873,55,Medium Risk
874,55,Medium Risk
875,55,Medium Risk
876,50,Medium Risk
877,55,Medium Risk
878,60,Medium Risk
879,55,Medium Risk
880,70,Medium Risk
881,65,Medium Risk
882,70,Medium Risk
883,70,Medium Risk
884,90,Low Risk
885,55,Medium Risk
886,60,Medium Risk
887,70,Medium Risk
888,70,Medium Risk
889,80,Low Risk
890,90,Low Risk
891,55,Medium Risk
892,55,Medium Risk
893,55,Medium Risk
894,70,Medium Risk
895,55,Medium Risk
896,40,High Risk
897,55,Medium Risk
898,60,Medium Risk
899,70,Medium Risk
900,70,Medium Risk
901,40,High Risk
902,40,High Risk
903,55,Medium Risk
904,55,Medium Risk
905,70,Medium Risk
906,70,Medium Risk
907,55,Medium Risk
908,55,Medium Risk
909,40,High Risk
910,90,Low Risk
911,60,Medium Risk
912,60,Medium Risk
913,75,Medium Risk
914,55,Medium Risk
915,55,Medium Risk
916,90,Low Risk
917,40,High Risk
918,55,Medium Risk
919,90,Low Risk
920,55,Medium Risk
921,40,High Risk
922,70,Medium Risk
923,60,Medium Risk
924,55,Medium Risk
925,55,Medium Risk
926,60,Medium Risk
927,70,Medium Risk
928,55,Medium Risk
929,70,Medium Risk
930,20,High Risk
931,40,High Risk
932,50,Medium Risk
933,60,Medium Risk
934,55,Medium Risk
935,70,Medium Risk
936,55,Medium Risk
937,55,Medium Risk
938,55,Medium Risk
939,70,Medium Risk
940,55,Medium Risk
941,70,Medium Risk
942,55,Medium Risk
943,70,Medium Risk
944,60,Medium Risk
945,60,Medium Risk
946,55,Medium Risk
947,55,Medium Risk
948,70,Medium Risk
949,55,Medium Risk
950,70,Medium Risk
951,70,Medium Risk
952,55,Medium Risk
953,40,High Risk
954,70,Medium Risk
955,70,Medium Risk
956,75,Medium Risk
957,55,Medium Risk
958,90,Low Risk
959,70,Medium Risk
960,55,Medium Risk
961,55,Medium Risk
962,75,Medium Risk
963,70,Medium Risk
964,35,High Risk
965,55,Medium Risk
966,75,Medium Risk
967,55,Medium Risk
968,55,Medium Risk
969,60,Medium Risk
970,60,Medium Risk
971,70,Medium Risk
972,55,Medium Risk
973,75,Medium Risk
974,75,Medium Risk
975,40,High Risk
976,70,Medium Risk
977,55,Medium Risk
978,55,Medium Risk
979,55,Medium Risk
980,75,Medium Risk
981,55,Medium Risk
982,75,Medium Risk
983,90,Low Risk
984,70,Medium Risk
985,90,Low Risk
986,75,Medium Risk
987,50,Medium Risk
988,70,Medium Risk
989,70,Medium Risk
990,40,High Risk
991,70,Medium Risk
992,70,Medium Risk
993,55,Medium Risk
994,75,Medium Risk
995,70,Medium Risk
996,75,Medium Risk
997,90,Low Risk
998,75,Medium Risk
999,65,Medium Risk
1000,75,Medium Risk
1001,55,Medium Risk
1002,70,Medium Risk
1003,60,Medium Risk
1004,35,High Risk
1005,70,Medium Risk
1006,70,Medium Risk
1007,70,Medium Risk
1008,40,High Risk
1009,55,Medium Risk
1010,40,High Risk
1011,55,Medium Risk
1012,40,High Risk
1013,60,Medium Risk
1014,40,High Risk
1015,55,Medium Risk
1016,75,Medium Risk
1017,90,Low Risk
1018,55,Medium Risk
1019,70,Medium Risk
1020,40,High Risk
1021,55,Medium Risk
1022,70,Medium Risk
1023,70,Medium Risk
1024,75,Medium Risk
1025,70,Medium Risk
1026,55,Medium Risk
1027,40,High Risk
1028,40,High Risk
1029,55,Medium Risk
1030,55,Medium Risk
1031,40,High Risk
1032,55,Medium Risk
1033,55,Medium Risk
1034,65,Medium Risk
1035,70,Medium Risk
1036,70,Medium Risk
1037,55,Medium Risk
1038,70,Medium Risk
1039,40,High Risk
1040,90,Low Risk
1041,70,Medium Risk
1042,90,Low Risk
1043,60,Medium Risk
1044,75,Medium Risk
1045,90,Low Risk
1046,75,Medium Risk
1047,90,Low Risk
1048,85,Low Risk
1049,90,Low Risk
1050,55,Medium Risk
1051,35,High Risk
1052,55,Medium Risk
1053,70,Medium Risk
1054,55,Medium Risk
1055,50,Medium Risk
1056,55,Medium Risk
1057,55,Medium Risk
1058,60,Medium Risk
1059,90,Low Risk
1060,55,Medium Risk
1061,75,Medium Risk
1062,55,Medium Risk
1063,55,Medium Risk
1064,40,High Risk
1065,40,High Risk
1066,55,Medium Risk
1067,70,Medium Risk
1068,55,Medium Risk
1069,40,High Risk
1070,75,Medium Risk
1071,70,Medium Risk
1072,70,Medium Risk
1073,70,Medium Risk
1074,70,Medium Risk
1075,75,Medium Risk
1076,70,Medium Risk
1077,75,Medium Risk
1078,70,Medium Risk
1079,70,Medium Risk
1080,55,Medium Risk
1081,50,Medium Risk
1082,70,Medium Risk
1083,55,Medium Risk
1084,25,High Risk
1085,55,Medium Risk
1086,50,Medium Risk
1087,70,Medium Risk
1088,70,Medium Risk
1089,40,High Risk
1090,35,High Risk
1091,40,High Risk
1092,55,Medium Risk
1093,55,Medium Risk
1094,90,Low Risk
1095,55,Medium Risk
1096,40,High Risk
1097,55,Medium Risk
1098,70,Medium Risk
1099,55,Medium Risk
1100,55,Medium Risk
1101,70,Medium Risk
1102,55,Medium Risk
1103,55,Medium Risk
1104,55,Medium Risk
1105,70,Medium Risk
1106,70,Medium Risk
1107,70,Medium Risk
1108,55,Medium Risk
1109,55,Medium Risk
1110,55,Medium Risk
1111,55,Medium Risk
1112,55,Medium Risk
1113,70,Medium Risk
1114,75,Medium Risk
1115,70,Medium Risk
1116,90,Low Risk
1117,75,Medium Risk
1118,55,Medium Risk
1119,55,Medium Risk
1120,40,High Risk
1121,55,Medium Risk
1122,75,Medium Risk
1123,40,High Risk
1124,45,High Risk
1125,70,Medium Risk
1126,55,Medium Risk
1127,70,Medium Risk
1128,70,Medium Risk
1129,55,Medium Risk
1130,55,Medium Risk
1131,90,Low Risk
1132,55,Medium Risk
1133,75,Medium Risk
1134,75,Medium Risk
1135,55,Medium Risk
1136,55,Medium Risk
1137,55,Medium Risk
1138,55,Medium Risk
1139,70,Medium Risk
1140,20,High Risk
1141,70,Medium Risk
1142,70,Medium Risk
1143,70,Medium Risk
1144,70,Medium Risk
1145,75,Medium Risk
1146,55,Medium Risk
1147,55,Medium Risk
1148,55,Medium Risk
1149,90,Low Risk
1150,55,Medium Risk
1151,90,Low Risk
1152,55,Medium Risk
1153,55,Medium Risk
1154,35,High Risk
1155,55,Medium Risk
1156,70,Medium Risk
1157,60,Medium Risk
1158,70,Medium Risk
1159,55,Medium Risk
1160,90,Low Risk
1161,55,Medium Risk
1162,40,High Risk
1163,55,Medium Risk
1164,35,High Risk
1165,55,Medium Risk
1166,70,Medium Risk
1167,55,Medium Risk
1168,55,Medium Risk
1169,90,Low Risk
1170,90,Low Risk
1171,90,Low Risk
1172,90,Low Risk
1173,55,Medium Risk
1174,80,Low Risk
1175,55,Medium Risk
1176,55,Medium Risk
1177,75,Medium Risk
1178,70,Medium Risk
1179,40,High Risk
1180,55,Medium Risk
1181,50,Medium Risk
1182,20,High Risk
1183,65,Medium Risk
1184,55,Medium Risk
1185,55,Medium Risk
1186,55,Medium Risk
1187,55,Medium Risk
1188,90,Low Risk
1189,90,Low Risk
1190,40,High Risk
1191,75,Medium Risk
1192,75,Medium Risk
1193,70,Medium Risk
1194,55,Medium Risk
1195,40,High Risk
1196,70,Medium Risk
1197,70,Medium Risk
1198,55,Medium Risk
1199,90,Low Risk
1200,55,Medium Risk
1201,55,Medium Risk
1202,55,Medium Risk
1203,75,Medium Risk
1204,75,Medium Risk
1205,40,High Risk
1206,75,Medium Risk
1207,70,Medium Risk
1208,70,Medium Risk
1209,40,High Risk
1210,75,Medium Risk
1211,40,High Risk
1212,70,Medium Risk
1213,55,Medium Risk
1214,35,High Risk
1215,70,Medium Risk
1216,70,Medium Risk
1217,75,Medium Risk
1218,55,Medium Risk
1219,75,Medium Risk
1220,55,Medium Risk
1221,55,Medium Risk
1222,70,Medium Risk
1223,70,Medium Risk
1224,55,Medium Risk
1225,40,High Risk
1226,90,Low Risk
1227,55,Medium Risk
1228,60,Medium Risk
1229,70,Medium Risk
1230,90,Low Risk
1231,70,Medium Risk
1232,90,Low Risk
1233,35,High Risk
1234,55,Medium Risk
1235,40,High Risk
1236,90,Low Risk
1237,55,Medium Risk
1238,75,Medium Risk
1239,55,Medium Risk
1240,70,Medium Risk
1241,70,Medium Risk
1242,55,Medium Risk
1243,35,High Risk
1244,55,Medium Risk
1245,55,Medium Risk
1246,35,High Risk
1247,25,High Risk
1248,40,High Risk
1249,70,Medium Risk
1250,90,Low Risk
1251,55,Medium Risk
1252,70,Medium Risk
1253,40,High Risk
1254,35,High Risk
1255,70,Medium Risk
1256,55,Medium Risk
1257,55,Medium Risk
1258,70,Medium Risk
1259,70,Medium Risk
1260,55,Medium Risk
1261,55,Medium Risk
1262,70,Medium Risk
1263,55,Medium Risk
1264,55,Medium Risk
1265,55,Medium Risk
1266,40,High Risk
1267,55,Medium Risk
1268,70,Medium Risk
1269,35,High Risk
1270,70,Medium Risk
1271,70,Medium Risk
1272,90,Low Risk
1273,55,Medium Risk
1274,40,High Risk
1275,55,Medium Risk
1276,60,Medium Risk
1277,35,High Risk
1278,55,Medium Risk
1279,40,High Risk
1280,40,High Risk
1281,40,High Risk
1282,50,Medium Risk
1283,40,High Risk
1284,70,Medium Risk
1285,55,Medium Risk
1286,55,Medium Risk
1287,70,Medium Risk
1288,70,Medium Risk
