SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.4175441510565989,40,0,2.0798351872454055,1558.510071031116,3,0,2,0,0.0
0,3.258073662788422,45,0,9.99919004104651,8232.504931057661,7,0,0,0,1.0
0,2.286274505001665,56,0,3.0993425688773404,12282.434423324265,8,0,0,0,1.0
0,4.084476231208446,45,0,21.177623345644616,17862.06834231599,9,0,1,0,0.0
0,0.1620238159275115,56,0,18.39303705162405,1571.8038310503748,16,0,0,0,2.0
0,0.0448284075251087,24,0,0.8512907038670485,7138.96206149552,10,0,1,0,2.0
0,1.2519123884062175,51,0,9.31092871412507,5831.651206330733,7,0,1,0,1.0
0,1.8711548350673195,37,0,5.268457490090132,1586.0425542727787,11,2,0,0,2.0
1,0.0557794723618004,58,3,6.346064668880857,4322.133001284736,11,0,3,0,1.0
1,7.834446206936224,74,0,0.2555161325996852,4908.244523539567,15,0,0,0,2.0
0,0.2813245077235067,80,0,5.539802351016572,1483.8519441057026,6,0,3,0,1.0
0,0.0043120578111282,45,0,184.1392168022179,3168.5247614780033,12,0,1,0,1.0
0,2.080012123126051,18,0,5.540154279357255,20128.08531944576,9,0,2,0,1.0
0,3.2124184561887126,56,0,0.505308438458076,2088.648635349088,8,0,2,2,0.0
0,0.6188326335005937,46,2,3.336271794846707,3443.032425033089,8,0,1,0,0.0
0,0.179072944728133,37,0,1.6628728159390098,4908.244523539567,7,0,0,0,0.0
0,4.129183270447103,55,4,12.8043764972101,4908.244523539567,4,0,0,0,1.0
0,1.623405563190608,55,0,4.98898163405489,17046.92639725854,8,0,0,0,1.0
0,9.176368304580205,62,0,50.860692337573006,74859.19014527924,12,0,2,0,1.0
0,0.3859467445632821,44,0,0.9175333558332716,2249.311248566747,3,0,1,1,0.0
0,2.313925154991123,42,0,0.215074662414225,7311.348699647274,8,0,0,0,0.0
0,0.3097881246147729,42,0,0.1025834693636995,4908.244523539567,6,0,1,0,1.0
0,0.0342915143535422,41,0,355.80835719885533,973.3875301371144,11,0,0,0,0.0
0,3.023854763746374,62,0,6.123265193087282,4513.8894831223215,11,0,1,0,2.0
0,0.3132865872550547,40,0,4.968333191339034,4276.2139193524845,12,0,3,0,1.0
1,0.6615235661461839,30,0,49.514685541274496,2770.2511769120288,10,0,2,0,2.0
0,0.4216705525891683,59,2,0.2568228415033337,3919.970608991671,9,0,0,0,1.0
1,1.144652510518221,58,96,1.1447374798505678,3289.566072401704,7,0,0,0,0.0
0,0.9130507144966352,80,0,0.7419321686217494,6853.736109669856,7,0,1,0,0.0
0,1.104040680707505,89,0,58.07863738123194,5958.6753694318995,8,1,0,0,1.0
0,0.2993098869172785,74,0,4.994617261680518,3924.7083457884023,9,0,2,0,1.0
0,4.226011226294878,62,0,0.021603154487125,4908.244523539567,5,0,1,0,1.0
0,0.4271182079764835,51,0,0.1825089348398501,4908.244523539567,10,0,2,0,0.0
0,6.810743263458804,40,0,1.2102004345612798,2786.681083130371,7,0,0,0,0.0
0,0.7414162347045776,85,0,11.395392600843484,4846.319987762458,6,0,0,1,1.0
0,0.1167680962124392,57,2,20.924213386020945,6859.191919145648,4,0,0,0,1.0
0,0.0159338680206104,73,0,4.030287231563696,4175.0925025774295,8,1,3,1,1.0
0,0.0145477357818366,51,0,33.53891079187738,6629.955892945006,4,0,3,0,1.0
0,0.7248302046972026,59,0,2.627485511765663,5234.262867936566,6,0,1,0,1.0
0,2.2886817118689797,54,1,8.559005287511138,1880.947023420732,10,0,2,0,0.0
0,4.732307535276872,41,0,0.290741487516274,5305.815284983175,8,1,1,0,1.0
0,3.549045610303929,60,0,0.9408212506227134,3240.8994816240106,6,0,0,0,0.0
0,3.396343973086833,85,0,0.927986307398741,6320.541087214843,8,0,2,0,0.0
0,2.0006942049207517,44,0,6.358529311440839,4270.383878664595,11,0,1,0,1.0
1,0.0693095175106194,48,0,5.016651960271526,2899.086833988903,7,0,1,0,1.0
0,0.2500417733186204,24,0,1.7391708913582589,2299.862538586158,12,0,3,0,1.0
0,0.7350793748384937,61,8,16.27139901521231,12029.46328815321,7,0,3,0,0.0
0,1.6027998454835417,60,0,0.9215405247910564,1836.9746409298527,8,0,1,8,1.0
0,0.6065984828477732,60,0,1.3617449323763615,4200.967949013784,8,0,1,0,1.0
0,0.1966220965107968,47,0,0.5890449707819451,22350.02649544053,10,0,0,0,1.0
0,7.2373382226186145,46,0,6.464070350298178,7542.46457049419,8,0,1,1,2.0
0,1.555496018206381,54,0,0.0059953042944052,1141.7998590322754,10,0,1,0,0.0
0,2.5749626347868397,59,0,29.517892739473144,764.5699541342123,8,5,1,0,1.0
0,0.7644556696711851,51,0,9.359938880764732,5408.956334631461,10,0,1,3,1.0
0,4.593423473843052,44,2,4.998783574032825,4908.244523539567,16,2,1,0,2.0
0,0.0053039985367301,28,0,2.0150537097817764,8227.579482513192,11,0,2,0,1.0
0,0.2925957434812017,66,0,39.5913877447005,4908.244523539567,14,0,1,4,1.0
0,0.1572446065958819,54,0,13.537583885449992,1295.0296703514048,7,0,2,0,3.0
0,0.0815013851920285,30,0,2.8991229693392686,8081.6144401391475,6,0,1,0,0.0
0,0.968329766715488,61,1,4.2047766508610245,4908.244523539567,8,0,4,0,1.0
0,6.923859591407942,61,0,1.6213929459272225,4908.244523539567,3,0,1,0,1.0
0,1.8696175393411067,44,0,0.5608513459604115,3453.7894785748827,4,0,3,0,0.0
0,1.398247486562436,36,0,16.976511994561992,4908.244523539567,8,0,1,0,1.0
0,2.3772904728664184,67,0,0.0856155240442895,11576.967785240802,10,0,0,0,0.0
0,5.53053526717624,44,0,32.08506208467376,4908.244523539567,7,0,1,0,0.0
0,4.967904512916886,18,1,4.284109907158184,7572.2279605737185,2,0,1,0,0.0
0,0.1752248421213913,50,0,1.0482662689347342,5744.481835586044,10,0,0,1,0.0
0,2.4207552677386217,54,1,17.21745242051468,6446.2432470502345,8,0,2,1,0.0
0,4.495554307025826,53,0,0.3141777124099126,3060.806591262895,5,0,0,0,0.0
0,0.0178519085633823,41,0,63.73942394312884,4908.244523539567,7,0,1,0,1.0
0,0.3010435701462455,52,0,6.139610170772329,2590.7629490787995,7,2,0,0,2.0
0,0.5214811577019685,62,0,61.586141075336165,27765.682008728676,8,0,1,0,1.0
0,0.0206651345553313,19,0,0.4926257517673886,9630.26561158909,5,3,2,0,0.0
0,0.0548112554687047,60,0,18.32225589921676,12693.563186844374,8,0,0,0,0.0
0,0.5092211034647789,64,0,3.344039841137126,5783.092321026873,6,0,1,0,1.0
0,0.000295798830844,46,0,80.71376345911409,5643.956820043604,13,0,3,1,1.0
0,3.0518849711432043,31,0,9.4208367840345,3619.4714058310383,10,0,2,1,1.0
0,2.570974103582417,65,0,0.0862198481840228,4908.244523539567,9,0,1,0,0.0
0,1.6173117798104335,71,0,1.1903793203988249,2790.127261126345,4,0,0,0,1.0
0,7.265393762545554,35,1,0.3397164294062253,4908.244523539567,4,0,2,0,0.0
0,0.7654546149115588,49,0,0.3709454181414449,5076.683320695145,8,0,3,0,1.0
0,0.3214160493253745,37,0,6.914491248067709,25304.483888356157,8,0,2,0,2.0
0,7.911771173979361,42,0,4.629858776115816,9926.130290523084,12,0,1,0,1.0
0,8.042868316804675,51,0,10.572524840196396,17217.383878242916,6,0,5,0,1.0
0,0.0238151417932581,65,0,0.7205497826884674,16300.016838338524,4,0,0,0,1.0
0,0.0360714607079145,61,0,0.3009611618834674,4451.391219022399,7,0,1,0,0.0
0,5.975137735924277,54,0,0.1274204358170521,4870.261806540457,9,0,5,0,2.0
0,0.1193750191011176,85,1,28.316279107046608,3636.462872315997,11,0,1,0,1.0
0,0.0291056796909455,32,0,1.416730658008594,2343.6056733214336,10,0,0,0,1.0
0,0.0005196747149515,43,0,116.38036589302814,10330.13330084911,7,3,1,0,0.0
0,0.5294052572057821,53,0,8.693769446562953,4908.244523539567,7,0,0,0,1.0
0,0.1456716622433447,47,0,6.298459908709218,5564.989776316039,12,0,0,0,1.0
0,1.1344627437819712,48,0,1.9014888320083396,4908.244523539567,8,0,1,0,2.0
0,0.7117621326382034,64,0,2.9286401158674567,13455.946248000926,10,0,2,0,3.0
0,0.8542760537493119,38,0,0.0364584345499898,4424.347292022491,8,0,2,0,1.0
0,1.8368496759452777,78,0,2.52245518457149,1852.2080710071589,5,0,1,0,0.0
0,0.0377362863867581,38,0,0.3097969948330549,24748.60649787735,3,0,0,0,0.0
0,4.070394430219729,40,0,1.4545231035706307,4908.244523539567,9,0,2,0,2.0
0,0.7552078322363466,69,0,21.76226368445687,5585.267388906982,7,0,2,0,0.0
0,0.006273435952495,70,0,1.9015670476131492,8072.154713483381,7,0,1,0,1.0
0,1.9360319034542115,47,0,1.5325889832478117,16132.947187380489,10,0,1,0,2.0
0,2.9271342945368053,70,0,5.034057493013611,3094.591646612887,12,0,1,0,3.0
0,1.4188632203745388,38,0,4.9719685486052185,4908.244523539567,4,0,1,0,1.0
0,0.1215089476745951,23,0,0.3580808173316884,4908.244523539567,10,0,0,0,0.0
0,1.0416494549708135,66,0,59.742212461593105,4908.244523539567,7,0,1,1,1.0
0,5.552716846905871,29,0,2.9040972585185427,596.843023489939,9,0,2,0,1.0
0,3.0102211611960374,51,0,2.520807203912145,7009.260089079406,9,0,1,0,1.0
0,0.0004815420442465,80,0,73.3437605610451,3007.4871791090354,8,0,1,0,2.0
0,2.080649528850437,37,0,0.6094061735197436,17407.571631741095,10,0,0,0,0.0
1,0.9785193026584172,32,0,3.480796077302079,4908.244523539567,10,0,1,0,0.0
0,1.1802405303350485,37,0,0.2880195650030701,4779.396893992347,10,0,0,0,0.0
0,0.9823311658780532,33,0,0.7788548142019713,7160.062680268321,4,0,1,0,0.0
0,0.0183300933240769,35,0,3.249269501187793,3157.1421979970332,9,0,1,2,0.0
0,0.1566057840475599,28,0,125.73319948027196,8514.234260949479,6,0,0,0,1.0
1,1.608109585922738,66,0,24.981014299345627,1841.8756621875348,5,0,0,1,1.0
1,2.6355915946584316,26,0,82.73602764969739,9119.580540959803,7,0,0,0,0.0
0,6.843541284909059,61,0,8.484841447640958,5067.369161590563,8,0,0,0,0.0
0,2.5255042075293774,27,0,9.04977784002384,7594.801419624892,11,0,2,0,2.0
0,3.927151527464265,54,0,2.070111952727967,4220.6751437249995,7,0,1,0,1.0
0,1.1466584642261983,65,0,21.55885705460979,4106.352013848765,13,0,0,0,0.0
0,0.9299946652378313,51,0,0.5593746329904474,1396.3763890197258,5,0,0,0,1.0
0,0.7988935722650934,33,0,81.11665838738715,15187.392167881157,6,0,0,0,0.0
0,0.3442404055540836,51,0,16.789238666372757,58178.49574777357,3,1,2,0,1.0
0,7.341974316327296,43,0,1.0857819244721274,4431.132615188846,8,0,1,0,0.0
0,4.506549616931159,49,0,0.0488380008344151,10729.83020254146,12,0,1,0,1.0
0,0.7462328143757511,32,0,0.564056614382851,11206.834612442774,7,0,1,0,0.0
0,2.013008649284242,57,1,51.93980510858758,4767.445828898618,6,3,2,0,1.0
0,0.1505161089920231,47,0,2.303121486048241,4970.48568078765,10,0,0,1,0.0
0,3.204533055638696,63,0,0.1544135135383626,11004.996657370551,13,0,1,0,1.0
1,0.8065346079127305,67,0,1.3193239599124562,1054.1935380790742,11,0,1,0,2.0
0,2.2401764432388873,57,0,0.4523031641994453,2073.182992139544,10,0,1,0,2.0
0,1.7951151426887857,47,0,2.0129650485466644,4908.244523539567,4,0,1,0,0.0
0,2.744640064675921,40,0,6.8924046176483555,3095.946787836692,3,0,0,0,0.0
0,4.986057086546629,38,0,7.589752363838698,4908.244523539567,9,0,1,0,0.0
0,1.698822254927964,56,0,95.74396847448978,6665.396225453822,8,0,1,0,1.0
0,0.3608385842812416,59,0,2.189280758627942,1472.1229311456088,7,0,1,0,0.0
0,2.8510791191411204,49,3,5.519803406779343,7334.717791875758,9,0,0,0,1.0
0,3.7150669287653977,51,0,1.0884718496455854,5163.852895431564,10,0,1,0,0.0
0,2.184008234267054,31,0,2.3081242125041643,3518.0522937422093,5,0,1,0,1.0
0,0.1698603513032175,54,0,7.232074232940736,10758.408871291496,10,0,0,0,0.0
0,0.6773280248866985,45,1,2.9331796477069263,2549.6956852735084,3,0,2,0,1.0
0,1.7846674432130445,69,1,50.60098371646753,4266.46238252966,7,0,0,0,0.0
0,3.9635469141991897,56,0,0.4019958828195468,3603.5108334531583,6,0,3,2,0.0
0,2.2659758598636306,47,0,0.3618322015902118,7306.852718182155,5,0,2,1,1.0
0,5.223525809857163,57,0,28.59996759689934,3064.5590783211564,11,0,2,0,2.0
0,0.0395396247287982,80,0,0.1587703824347857,4908.244523539567,7,0,2,0,0.0
0,0.0908291864491835,65,1,4.908120420665169,7650.252252384333,8,0,2,0,1.0
0,1.134221936620596,43,0,0.0389544703999486,3501.5315002115044,11,0,1,0,1.0
0,6.9423772464517155,59,3,3.7771913244991135,2626.8376098944427,5,0,1,0,0.0
0,1.5126789611924407,95,0,19.67844942153099,718.3978042993028,5,0,1,0,0.0
0,0.4524208727169374,65,0,13.845542354996546,4908.244523539567,8,0,0,0,0.0
0,0.1965534167658497,50,0,7.906936836874458,4395.4093564660025,8,1,3,1,0.0
0,1.2186941404923828,70,0,0.7871457138010453,5367.181707314102,10,0,1,0,0.0
1,3.423482735139842,25,0,13.485712549551147,11978.264720146408,11,0,0,0,0.0
0,5.5348338871705485,36,0,78.25618302837455,12106.374371296848,10,5,0,0,1.0
0,0.5469261983646143,23,2,0.1532112067335706,1837.657980036485,6,0,1,0,1.0
0,0.0069232459236521,28,0,2.8343896488033353,1915.99368485216,10,0,1,0,1.0
0,0.5866751126022414,52,2,0.3143123804568324,4908.244523539567,7,0,2,0,1.0
0,0.52768109030996,31,0,2.3595593071826335,15413.396299906077,9,0,2,0,0.0
0,2.9863899841009243,36,0,19.275144335898936,9864.221193376485,9,0,1,0,1.0
0,0.0105921814182769,26,0,0.4861477074954673,14566.194442196169,8,0,1,0,1.0
0,3.4978283150645058,58,0,49.29748734337225,4078.18895277992,11,0,1,0,0.0
0,3.0342698269879764,33,0,1.3497060628062798,1725.1713753683248,5,0,3,0,0.0
0,1.9195768339902215,65,0,0.0494074373554356,8820.683848724653,5,0,0,0,2.0
0,0.6627986484976949,49,0,2.1370834744241014,2049.0957231105617,12,0,0,0,0.0
0,0.0812392435327309,72,4,0.3552828048291522,5749.048779289231,12,0,2,0,1.0
0,6.212290626192475,46,0,3.3984793180845574,18148.877018723484,8,0,2,0,1.0
0,0.0013980288534109,65,0,0.1973241315995546,6211.547327368857,7,0,1,0,1.0
0,0.1859824656399867,55,0,0.6421509870155911,4908.244523539567,6,0,0,0,0.0
0,0.0360610108423138,61,0,4.155737528834872,4908.244523539567,9,1,1,1,0.0
0,0.3419882742599996,66,0,1.764410213155928,11446.154437931447,9,0,3,0,2.0
0,0.8026027550408303,54,0,2.985455054447179,4908.244523539567,5,0,3,0,1.0
0,4.770141329724129,57,0,1.4694608398010287,1162.5857112027454,9,0,3,0,0.0
0,3.565837401072046,60,0,21.311109665002924,4908.244523539567,2,0,1,0,0.0
0,0.7580776448960063,27,0,0.5142353804008037,7622.719593077462,3,0,0,0,2.0
0,1.014631198776854,57,0,14.114557108140074,4908.244523539567,7,0,1,0,3.0
0,1.5642285327942254,64,0,1.1495936245986376,6871.4415703836,4,0,1,0,1.0
0,9.343431427511854,50,0,0.8279273352434102,4776.448898606017,8,0,1,0,0.0
0,2.5552933243926375,31,2,74.38746840224906,6794.519380276199,9,0,1,0,0.0
0,0.004843299713848,59,1,0.0261894114539715,3815.366961605834,7,1,1,0,0.0
0,0.5117515788281306,30,0,0.1028013164467451,6536.4897792765405,10,0,0,0,1.0
0,0.1268536169966903,26,0,13.952387650465123,13518.431334606348,14,0,2,0,2.0
0,6.935214913126343,69,0,0.9680185714776584,6495.390703003138,5,0,1,0,0.0
0,0.4530115886143248,59,0,52.3881634050545,2566.200282182194,10,0,0,0,0.0
0,0.2612545036677426,39,0,4.988330167225546,7655.140388042446,10,0,3,0,1.0
0,0.5567387261116927,58,0,1.5999268753642024,1827.4121891016257,9,5,0,0,0.0
0,2.808401789883192,49,0,9.511386452186118,7900.321640188162,7,0,0,0,2.0
0,3.284682873097678,64,0,0.8214047449476505,14350.09155004156,9,0,0,0,0.0
0,0.1326012490147147,97,0,10.198910498149605,4908.244523539567,12,0,0,0,1.0
0,2.1872736413588116,38,0,19.35445526089138,1827.601693762499,6,0,2,0,1.0
0,1.3125663355031714,46,0,0.1157114417481945,4908.244523539567,7,0,1,0,0.0
0,0.1901843198557176,34,0,4.574671708304274,1572.3171911799666,6,0,1,0,1.0
0,1.0515808359648249,67,0,8.183127004759859,4908.244523539567,7,0,1,1,1.0
0,0.5177675239111676,48,1,0.5464451366004375,3691.68391651695,7,0,2,0,1.0
0,2.967500518716176,48,0,2.370772219271851,2281.0260899137234,10,0,1,0,0.0
0,2.1731702927354704,45,0,0.5446318972803761,6148.690066479267,12,0,1,2,0.0
0,0.0067451107943566,43,0,5.310257775437145,2112.7234349292244,4,0,0,0,1.0
0,0.6131640258630553,44,0,0.0026543075417708,9535.840497817053,9,0,1,0,0.0
0,2.6696773237331635,46,0,13.071023077016926,12089.985089795911,11,0,1,0,1.0
0,0.1293433915596694,63,0,11.711909010908224,15509.138410316167,14,0,0,0,1.0
0,2.7039837480605793,65,0,2.611390003942008,20923.11593852104,3,0,1,1,2.0
1,7.812995696460044,54,0,5.398631849060975,6948.452362177782,5,0,1,0,0.0
0,0.4754776458473104,73,0,14.44236960803321,5588.207763374401,7,98,0,0,0.0
0,0.0445205762418914,61,1,0.5912589437433101,5549.846635783436,12,2,1,0,0.0
0,1.5884071420505717,42,0,3.819295399448316,7179.127021982004,9,5,0,0,0.0
0,2.3443631399104974,65,0,1.381914661751842,25106.672276539113,10,0,0,0,0.0
0,1.3154150348664602,66,0,33.792273439083885,4908.244523539567,11,0,0,3,1.0
0,0.0678047837966122,54,0,4.686860425737125,3179.9572683253737,9,0,2,0,0.0
0,4.394012411563734,47,0,3.452374041148312,12595.676894493705,8,0,1,0,0.0
0,0.2798300991065038,31,0,1.6322701499258767,3684.828041690293,8,1,0,0,1.0
0,2.210811988886975,44,0,23.508512522540823,9919.688731687344,6,0,1,0,0.0
0,5.25552063565871,24,0,3.6243094991794345,5154.770043849541,6,0,2,2,3.0
0,4.1143081169003795,46,0,17.824529946840457,13242.966667118326,6,0,5,0,0.0
0,1.788044533129186,52,2,0.1403077453454315,5389.5605909494925,9,0,4,0,0.0
0,1.738490951334779,68,0,0.6147287297023446,10773.42033825672,9,0,1,0,0.0
1,6.695844984138847,44,0,0.907032952477585,3015.407936976117,6,0,1,0,0.0
1,0.1205122343463301,55,0,0.9851969700812894,15862.240606016372,11,0,3,0,2.0
0,1.6493633483200676,69,0,162.88509302570276,4908.244523539567,12,4,1,0,3.0
0,0.3918184540502773,34,0,2.5238478934269213,11614.33776792461,8,0,3,0,2.0
0,0.0105742506573721,60,0,0.5269992822978985,4908.244523539567,12,0,1,0,1.0
0,8.041839660344944,27,0,13.96905510045122,4020.368794447,8,0,0,0,1.0
0,0.1045015134208469,37,0,1.3597129526369418,2682.685167171281,4,0,0,0,2.0
1,1.45739832408896,39,3,15.679132826210813,4908.244523539567,10,0,0,1,0.0
1,0.9387090228632508,41,0,4.178092525130112,1201.6506332319586,6,0,1,0,0.0
0,5.157147712372051,41,5,17.184360360387657,578.4091631628137,10,0,0,0,0.0
0,2.470120126563434,57,0,10.312441994102556,3695.225379361174,9,0,2,0,1.0
0,4.000271625172601,48,0,3.7052853389713656,4908.244523539567,11,0,2,0,1.0
0,6.604816460396556e-05,36,0,60.10792432410462,4981.304913280079,8,0,2,0,2.0
0,0.4276917988603904,29,0,0.5904285766102481,8622.855773004852,6,0,3,0,0.0
0,5.0937413699085194,62,0,679.7243006616291,2174.07633306508,6,0,1,0,1.0
0,0.3202798742474617,66,0,5.939198216841653,5153.652091096188,8,2,0,0,0.0
1,0.1697595951033403,51,0,1.245188354855848,4908.244523539567,5,0,1,0,0.0
0,1.2391282352322692,18,0,0.1740442599892165,10649.318423585515,14,0,0,0,0.0
0,0.1504304002137522,44,0,248.25148140725165,10016.381911627088,6,0,2,0,0.0
0,0.8526745662391477,41,0,0.1517880663006457,4908.244523539567,8,0,0,0,2.0
0,1.3723757838098047,44,0,1.207869185713038,5225.009570732125,3,0,3,0,1.0
1,1.1872612663318978,71,0,0.0316105369932293,1668.6830516393609,9,0,1,0,3.0
0,0.2685223434119298,62,2,0.249871734806836,3422.3435639391496,10,0,1,0,2.0
0,0.2240385807336972,63,1,25.833305518782367,2259.6612068695463,8,0,1,0,0.0
0,3.742230430420193,67,0,0.1642217623140206,10454.651015584788,7,0,0,0,0.0
0,2.704855199112983,46,0,1.8422342751858425,16697.195302406424,11,0,1,0,0.0
0,1.144067701519861,46,0,0.0281809129200506,5516.074538833088,8,0,0,0,0.0
0,0.1089370669408303,53,1,0.5506958685068051,5535.540673720095,5,0,1,0,0.0
0,0.3463822279473185,43,0,1.6122324430012005,8524.1770731025,7,0,0,0,0.0
0,3.1959428827030467,43,0,21.759107955867947,6153.653355087526,5,0,1,0,0.0
0,0.1596815335963103,64,0,0.1252402685627737,8267.095588563296,9,0,1,0,1.0
0,3.852441691945701,60,0,3.2751916635204172,7762.9978822822,3,0,1,0,3.0
0,3.839035093918277,20,0,1.7412259854773062,4908.244523539567,4,0,1,0,2.0
0,1.6812208724556177,49,1,47.33014222615519,17678.261798832955,7,1,0,0,0.0
0,5.097593245481553,69,0,0.8965627384238841,1181.6733150152843,10,0,2,0,1.0
0,0.1699852783589063,63,4,506.7599903933417,4875.014254900938,8,0,1,0,3.0
0,0.1480543184564027,53,0,6.5649353343748835,4213.963922133414,10,0,0,0,1.0
0,2.253582771066982,74,0,1.0879343202712597,7206.46694912765,8,0,1,0,0.0
0,2.58664029230554,45,3,5.675696128224811,4908.244523539567,8,0,0,0,0.0
0,1.3577566205312324,48,0,1.2833031328073925,4908.244523539567,9,0,1,0,0.0
0,4.958129776205823,21,0,4.131930264088897,5245.896636400272,10,0,0,0,1.0
0,2.940078352533374,51,1,0.6669453562192061,3540.163681767056,13,0,4,0,0.0
0,3.2242170850481573,80,0,4.2718877004057525,4407.1033507993225,11,0,2,0,1.0
0,5.429762516518259,51,0,6.619130925132608,5373.340630396538,13,0,1,0,0.0
0,0.547002803999515,55,1,14.611900515123017,2252.5266567816852,12,0,2,0,0.0
0,0.4435447799049622,49,0,18.146257715575505,1090.410293789037,7,0,2,0,2.0
0,3.1048336852101075,58,0,103.37765905001682,7237.25851102457,12,0,1,0,1.0
0,1.8747089982726095,42,0,3.9369043989534926,4908.244523539567,11,0,1,0,0.0
0,2.1966583249156364,78,0,0.2719141755786761,26978.8992836596,9,0,3,4,0.0
0,2.4142602155152924,68,0,1.575573807414027,6246.724858137028,9,0,0,0,0.0
0,2.940102211141702,62,0,4.435021682740883,1477.810126110378,12,0,0,0,0.0
0,3.779190757733665,69,0,1.1099927109441488,19305.105953452738,4,0,1,0,0.0
0,0.4340233555136824,51,0,8.772735285191514,1775.763274207549,7,0,1,0,0.0
0,1.3252404485647649,42,1,0.8557856615623403,2857.4191642173946,6,9,0,0,0.0
0,0.7997356722665484,57,0,82.56639315203618,1103.062213131837,9,0,6,0,0.0
0,1.3604241982146956,69,0,3.837222771124101,4908.244523539567,9,0,0,0,0.0
0,0.0244672033924819,47,1,1.455687755012005,4908.244523539567,9,1,0,0,0.0
0,0.5628611006509266,47,0,1.9275130432723064,3416.251213300216,6,0,2,0,1.0
0,2.38589543905463,53,0,1.1418942478809828,1175.8419472564622,5,0,1,0,0.0
0,2.7402237330145147,22,0,1.2545807502311084,3979.8906867360024,10,0,1,0,0.0
0,0.7981565625308085,36,0,3.626391487421056,3731.404303812004,6,0,0,1,1.0
0,1.225501188983796,43,0,8.542145475421954,4486.856129169928,3,0,0,0,3.0
0,5.822200546000128,69,0,1.391696396459412,23493.038172722263,9,0,0,0,1.0
0,0.0024619181496668,58,0,1.213047223663396,3232.110931035038,13,1,0,0,1.0
0,0.8594208638661252,36,0,1.5097766967867614,6552.284181315515,11,0,0,0,2.0
1,3.1028655199317563,57,1,6.605849003413144,3321.9724558181942,11,0,3,0,0.0
0,0.1406798643564399,53,0,11.695525124456829,3465.8193834449876,9,0,1,0,2.0
0,6.7228907641857845,44,0,0.0327117657821641,4908.244523539567,8,0,2,0,1.0
0,3.9138723512827935,42,0,15.392533728058693,13907.715596265529,5,0,2,0,2.0
0,0.4569272084451058,87,0,0.0285998105644069,4908.244523539567,8,0,1,0,1.0
0,0.139750020145195,25,0,10.548796585520222,1253.9045007483692,4,0,2,0,1.0
0,0.4442161053441651,43,0,7.972353297207094,7473.401657688387,5,0,0,0,3.0
0,2.394259667311913,64,1,2.291859100642145,20561.92598101131,10,0,1,0,2.0
1,1.3893274346844922,38,0,2.1849886443606903,13314.89719423262,10,0,1,0,1.0
0,1.98252479073291,43,0,1.345700344441483,23947.182408656925,10,0,2,0,3.0
